id_cliente,tipo_contacto,mes,dia_semana,contactos_campana,dias_desde_contacto_previo,contactos_previos,resultado_previo,variacion_empleo,indice_precios,confianza_consumidor,euribor_3m,numero_empleados,acepta_deposito,edad,ocupacion,estado_civil,educacion,incumplimiento_credito,credito_vivienda,prestamo_personal
CLI000053,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,34,blue-collar,married,basic.9y,No,Sí,No
CLI000054,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No,51,admin.,married,high.school,No,No,No
CLI000055,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,No,44,admin.,married,high.school,No,No,No
CLI000056,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,No,36,admin.,single,high.school,No,Sí,No
CLI000057,telephone,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No,37,technician,divorced,high.school,No,,No
CLI000058,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No,38,admin.,single,high.school,No,Sí,No
CLI000059,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No,54,blue-collar,married,basic.4y,Desconocido,Sí,No
CLI000060,cellular,sep,wed,3,999,0,nonexistent,-3.4,92.379,-29.8,0.813,5017.5,Sí,34,technician,married,professional.course,No,Sí,Sí
CLI000061,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,No,28,admin.,single,university.degree,No,No,No
CLI000062,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No,33,admin.,single,university.degree,No,Sí,Sí
CLI000063,cellular,jul,thu,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,Sí,59,blue-collar,divorced,basic.4y,No,Sí,No
CLI000064,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,28,student,single,university.degree,Desconocido,Sí,No
CLI000065,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,No,59,Desconocido,married,Desconocido,No,Sí,No
CLI000066,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,No,42,blue-collar,married,Desconocido,Desconocido,Sí,Sí
CLI000067,telephone,may,thu,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,39,blue-collar,married,basic.4y,Desconocido,No,Sí
CLI000068,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,43,technician,single,professional.course,No,No,No
CLI000069,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,No,35,admin.,single,university.degree,No,Sí,No
CLI000070,cellular,sep,thu,2,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,No,38,admin.,married,university.degree,No,No,No
CLI000071,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,No,25,blue-collar,single,basic.9y,No,Sí,No
CLI000072,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,Sí,29,blue-collar,single,high.school,No,Sí,No
CLI000073,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,No,28,self-employed,single,basic.9y,No,No,No
CLI000074,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,54,admin.,married,university.degree,Desconocido,No,Sí
CLI000075,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No,37,technician,single,university.degree,No,No,No
CLI000076,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,No,23,services,single,high.school,No,No,No
CLI000077,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,No,39,admin.,married,university.degree,No,No,No
CLI000078,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,No,32,blue-collar,married,,No,Sí,No
CLI000079,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,No,43,services,married,high.school,Desconocido,No,No
CLI000080,telephone,jun,tue,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No,45,services,married,high.school,Desconocido,No,No
CLI000081,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,34,services,married,high.school,No,No,No
CLI000082,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No,35,services,married,basic.9y,No,No,No
CLI000083,cellular,may,fri,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,Sí,25,blue-collar,single,high.school,No,No,No
CLI000084,telephone,may,thu,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No,36,blue-collar,married,basic.9y,No,No,No
CLI000085,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No,30,services,single,basic.9y,No,Sí,No
CLI000086,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No,41,blue-collar,married,basic.9y,No,Sí,No
CLI000087,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No,38,admin.,married,basic.6y,No,No,No
CLI000088,telephone,jun,wed,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No,51,blue-collar,married,basic.4y,Desconocido,Sí,No
CLI000089,cellular,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,No,20,student,single,high.school,No,No,No
CLI000090,cellular,mar,mon,5,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,Sí,26,admin.,married,university.degree,No,Sí,No
CLI000091,cellular,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,No,33,admin.,single,university.degree,No,No,No
CLI000092,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,No,59,technician,married,professional.course,No,Sí,No
CLI000093,cellular,may,tue,1,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,Sí,22,technician,single,Desconocido,No,No,No
CLI000094,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No,34,unemployed,married,high.school,No,No,No
CLI000095,telephone,may,thu,11,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,45,blue-collar,married,basic.6y,Desconocido,Sí,No
CLI000096,cellular,aug,fri,1,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2,Sí,51,housemaid,married,Desconocido,No,No,No
CLI000097,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No,36,blue-collar,married,basic.6y,No,Sí,No
CLI000098,cellular,may,fri,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,No,48,admin.,married,basic.9y,No,No,No
CLI000099,telephone,may,mon,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,30,services,single,high.school,No,No,No
CLI000100,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,No,35,entrepreneur,married,university.degree,No,Sí,Sí
CLI000101,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,No,52,entrepreneur,single,university.degree,Desconocido,Sí,No
CLI000102,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,52,admin.,divorced,university.degree,Desconocido,Sí,Sí
CLI000103,telephone,may,thu,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No,40,entrepreneur,married,basic.9y,No,Sí,No
CLI000104,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,26,services,single,university.degree,No,Sí,No
CLI000105,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,No,35,technician,married,university.degree,No,No,No
CLI000106,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,42,admin.,married,high.school,No,No,No
CLI000107,telephone,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,40,blue-collar,married,basic.4y,Desconocido,Desconocido,Desconocido
CLI000108,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,50,services,divorced,basic.4y,Desconocido,Sí,Sí
CLI000109,cellular,nov,fri,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,No,56,management,married,basic.9y,No,Sí,Sí
CLI000110,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No,25,admin.,married,high.school,No,No,No
CLI000111,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No,48,technician,married,university.degree,No,,No
CLI000112,cellular,may,mon,8,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,No,25,student,single,high.school,No,Sí,No
CLI000113,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,No,41,technician,divorced,basic.4y,No,Sí,No
CLI000114,cellular,nov,mon,2,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,Sí,52,services,divorced,high.school,Desconocido,Sí,Sí
CLI000115,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,39,blue-collar,married,basic.6y,Desconocido,Sí,No
CLI000116,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No,37,admin.,single,high.school,No,Sí,No
CLI000117,cellular,jul,thu,31,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No,53,self-employed,married,professional.course,No,Sí,No
CLI000119,cellular,sep,fri,2,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,Sí,50,admin.,married,high.school,No,Sí,No
CLI000120,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,No,28,blue-collar,single,basic.9y,Desconocido,No,No
CLI000121,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No,32,technician,married,professional.course,No,Sí,No
CLI000122,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,No,27,technician,single,high.school,Desconocido,No,Sí
CLI000123,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No,54,blue-collar,married,basic.9y,No,No,No
CLI000124,telephone,jun,thu,20,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,No,56,retired,married,basic.9y,Desconocido,Sí,No
CLI000125,telephone,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,No,51,admin.,divorced,university.degree,Desconocido,No,No
CLI000126,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,No,34,admin.,single,high.school,No,Desconocido,Desconocido
CLI000127,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No,42,self-employed,divorced,university.degree,Desconocido,Sí,No
CLI000128,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,No,57,self-employed,married,university.degree,Desconocido,Sí,No
CLI000129,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,30,technician,single,professional.course,No,No,No
CLI000130,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No,45,admin.,divorced,high.school,No,No,Sí
CLI000131,cellular,nov,fri,10,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,No,51,blue-collar,married,basic.9y,No,No,No
CLI000132,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,Sí,29,admin.,single,university.degree,No,No,No
CLI000133,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,No,27,blue-collar,married,basic.9y,No,Sí,No
CLI000134,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,No,53,entrepreneur,divorced,university.degree,No,Sí,No
CLI000135,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,No,34,admin.,single,high.school,No,No,Sí
CLI000136,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,39,management,married,university.degree,No,Sí,No
CLI000137,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No,32,management,married,university.degree,No,Sí,No
CLI000138,cellular,aug,mon,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,No,30,admin.,married,university.degree,No,No,No
CLI000139,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,No,37,entrepreneur,married,basic.9y,No,Sí,No
CLI000140,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,No,33,management,married,basic.9y,Desconocido,No,No
CLI000141,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No,40,admin.,divorced,university.degree,No,No,No
CLI000142,telephone,jun,fri,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,No,35,services,married,basic.6y,No,Sí,No
CLI000143,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,No,42,admin.,single,,No,No,No
CLI000144,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,No,36,blue-collar,married,basic.6y,No,No,No
CLI000145,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,42,retired,married,basic.4y,No,No,No
CLI000146,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,29,technician,single,university.degree,No,Sí,No
CLI000147,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,Sí,45,services,married,basic.6y,No,Sí,No
CLI000148,telephone,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No,22,unemployed,single,high.school,No,No,No
CLI000149,cellular,may,fri,9,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,No,33,admin.,single,high.school,No,No,No
CLI000150,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No,30,admin.,single,university.degree,No,No,No
CLI000151,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No,50,self-employed,married,professional.course,No,Sí,No
CLI000152,telephone,jun,tue,1,6,2,success,-1.7,94.055,-39.8,0.702,4991.6,No,29,blue-collar,single,basic.9y,No,,No
CLI000153,cellular,may,thu,1,999,3,failure,-1.8,93.876,-40.0,0.692,5008.7,No,45,management,married,basic.9y,No,Sí,No
CLI000154,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No,28,services,single,high.school,No,No,Sí
CLI000155,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No,44,technician,divorced,professional.course,No,No,No
CLI000156,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,No,51,blue-collar,divorced,Desconocido,Desconocido,No,No
CLI000157,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No,39,admin.,married,university.degree,No,No,No
CLI000158,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No,55,retired,married,basic.4y,Desconocido,No,No
CLI000159,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,Sí,41,blue-collar,married,basic.9y,No,No,No
CLI000160,telephone,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,Sí,40,blue-collar,married,basic.9y,No,No,Sí
CLI000161,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No,37,admin.,married,university.degree,No,Sí,Sí
CLI000162,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,54,blue-collar,divorced,basic.4y,No,No,No
CLI000163,cellular,jun,tue,2,3,1,success,-2.9,92.963,-40.8,1.262,5076.2,Sí,25,blue-collar,single,professional.course,No,Sí,No
CLI000164,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No,40,admin.,married,university.degree,No,Sí,No
CLI000165,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,No,39,blue-collar,divorced,high.school,No,Sí,Sí
CLI000166,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,No,44,services,married,high.school,No,No,No
CLI000167,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,No,39,technician,single,professional.course,No,No,No
CLI000168,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,No,34,admin.,married,basic.9y,No,Desconocido,Desconocido
CLI000169,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,36,technician,divorced,professional.course,No,Sí,No
CLI000170,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,No,48,management,single,university.degree,No,Sí,
CLI000171,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,No,38,services,married,high.school,No,No,No
CLI000172,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.741,5017.5,No,48,admin.,married,high.school,No,No,No
CLI000173,telephone,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,Sí,51,blue-collar,married,basic.4y,No,Desconocido,Desconocido
CLI000174,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,No,48,services,divorced,high.school,Desconocido,Sí,Sí
CLI000175,cellular,nov,wed,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,No,33,self-employed,single,basic.4y,No,,No
CLI000176,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,No,31,blue-collar,married,professional.course,Desconocido,Sí,No
CLI000177,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,No,36,admin.,single,high.school,No,Sí,No
CLI000178,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,55,admin.,married,basic.9y,Desconocido,,Sí
CLI000179,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,No,29,technician,single,high.school,No,Sí,No
CLI000180,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,No,35,blue-collar,married,basic.6y,No,Sí,No
CLI000181,cellular,aug,wed,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No,47,technician,divorced,high.school,No,Sí,No
CLI000182,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,No,41,services,married,professional.course,No,No,Sí
CLI000183,cellular,nov,thu,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,Sí,30,entrepreneur,single,university.degree,No,Sí,No
CLI000184,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No,32,housemaid,single,basic.4y,No,No,No
CLI000185,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,No,39,management,married,university.degree,No,Sí,No
CLI000186,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No,31,admin.,single,high.school,No,Sí,No
