id_cliente,edad,ocupacion,estado_civil,educacion,incumplimiento_credito,credito_vivienda,prestamo_personal
CLI000192,38,entrepreneur,single,basic.4y,No,Sí,Sí
CLI000193,37,self-employed,married,professional.course,No,Sí,Sí
CLI000194,28,management,single,basic.9y,No,Sí,No
CLI000195,32,admin.,single,university.degree,No,Desconocido,Desconocido
CLI000196,37,admin.,married,high.school,Desconocido,No,No
CLI000197,42,management,divorced,Desconocido,No,Sí,No
CLI000198,41,blue-collar,single,basic.6y,Desconocido,Sí,No
CLI000199,58,blue-collar,married,,No,No,No
CLI000200,54,blue-collar,married,basic.9y,No,No,
CLI000201,33,admin.,single,university.degree,No,Sí,No
CLI000202,54,housemaid,married,basic.4y,No,Sí,No
CLI000203,41,housemaid,married,basic.6y,No,No,No
CLI000204,47,technician,married,professional.course,No,Sí,No
CLI000205,34,housemaid,divorced,university.degree,No,Desconocido,Desconocido
CLI000206,52,housemaid,married,basic.4y,Desconocido,No,No
CLI000207,27,admin.,single,basic.6y,No,Sí,No
CLI000208,37,admin.,married,university.degree,Desconocido,Sí,No
CLI000209,41,entrepreneur,married,university.degree,Desconocido,Sí,No
CLI000210,34,technician,divorced,professional.course,No,No,No
CLI000211,42,blue-collar,single,basic.9y,Desconocido,No,No
CLI000212,38,services,married,high.school,No,No,No
CLI000213,49,entrepreneur,married,high.school,No,No,No
CLI000214,42,admin.,married,university.degree,No,No,No
CLI000215,30,admin.,married,university.degree,No,No,No
CLI000216,33,services,single,high.school,No,Sí,No
CLI000217,34,technician,divorced,professional.course,No,No,No
CLI000218,35,blue-collar,divorced,basic.9y,No,No,Sí
CLI000219,30,admin.,single,university.degree,No,Sí,No
CLI000220,31,technician,married,professional.course,No,No,No
CLI000221,61,retired,married,high.school,No,No,No
CLI000222,54,blue-collar,married,basic.4y,No,No,Sí
CLI000223,70,retired,married,basic.4y,No,Sí,No
CLI000224,37,management,married,university.degree,No,No,Sí
CLI000225,38,management,divorced,high.school,No,Sí,No
CLI000226,36,admin.,single,university.degree,No,No,Sí
CLI000227,36,admin.,divorced,university.degree,No,No,No
CLI000228,35,blue-collar,single,university.degree,No,Sí,Sí
CLI000229,40,technician,married,professional.course,No,No,No
CLI000230,34,services,single,high.school,No,Sí,No
CLI000231,36,technician,married,university.degree,No,Sí,No
CLI000232,53,Desconocido,married,Desconocido,Desconocido,No,No
CLI000233,49,unemployed,divorced,professional.course,No,No,No
CLI000234,27,admin.,single,professional.course,No,Sí,No
CLI000235,54,management,divorced,university.degree,No,Sí,Sí
CLI000236,36,admin.,married,high.school,No,Sí,Sí
CLI000237,56,admin.,divorced,high.school,No,,No
CLI000238,39,blue-collar,single,basic.9y,No,No,No
CLI000239,46,management,married,university.degree,No,Sí,No
CLI000240,24,student,single,professional.course,No,No,Sí
CLI000241,37,technician,single,university.degree,No,Sí,No
CLI000242,60,retired,married,high.school,Desconocido,Sí,No
CLI000243,29,services,married,high.school,No,No,No
CLI000244,39,admin.,married,university.degree,No,No,No
CLI000245,24,services,single,high.school,No,No,No
CLI000246,28,management,married,university.degree,No,Sí,Sí
CLI000247,35,technician,married,professional.course,Desconocido,Sí,No
CLI000248,58,self-employed,married,basic.9y,No,No,No
CLI000249,40,self-employed,married,high.school,Desconocido,Sí,No
CLI000250,56,Desconocido,married,Desconocido,Desconocido,Sí,No
CLI000251,46,admin.,married,high.school,No,Sí,No
CLI000252,46,technician,married,professional.course,No,No,No
CLI000253,57,technician,married,,Desconocido,No,No
CLI000254,38,blue-collar,married,basic.6y,No,No,No
CLI000255,34,blue-collar,married,basic.9y,No,No,Sí
CLI000256,32,technician,single,university.degree,No,No,Sí
CLI000257,52,blue-collar,married,basic.9y,No,No,No
CLI000258,30,entrepreneur,single,university.degree,No,Sí,No
CLI000259,45,technician,divorced,basic.9y,No,No,No
CLI000260,31,unemployed,married,university.degree,No,No,No
CLI000261,48,technician,married,professional.course,Desconocido,No,Sí
CLI000262,55,technician,married,professional.course,No,Sí,Sí
CLI000263,48,admin.,married,university.degree,No,No,No
CLI000264,27,services,single,high.school,No,No,No
CLI000265,41,self-employed,married,basic.9y,Desconocido,No,No
CLI000266,30,technician,married,basic.6y,No,,No
CLI000267,37,management,married,university.degree,No,Sí,No
CLI000268,46,admin.,single,university.degree,No,No,No
CLI000269,32,technician,single,university.degree,No,Sí,No
CLI000270,47,admin.,single,high.school,No,No,No
CLI000271,43,retired,married,basic.4y,Desconocido,Sí,No
CLI000272,35,technician,single,high.school,No,Sí,No
CLI000273,60,retired,married,university.degree,Desconocido,Sí,No
CLI000274,42,admin.,married,high.school,No,No,No
CLI000275,57,admin.,single,university.degree,Desconocido,Sí,No
CLI000276,44,blue-collar,single,high.school,No,Sí,Sí
CLI000277,38,management,married,university.degree,No,No,No
CLI000278,33,admin.,single,high.school,No,Sí,No
CLI000279,36,blue-collar,married,basic.9y,No,Sí,No
CLI000280,28,student,single,basic.9y,Desconocido,Sí,No
CLI000281,43,admin.,married,university.degree,No,No,No
CLI000282,51,management,married,university.degree,No,Sí,No
CLI000283,33,services,married,university.degree,Desconocido,Sí,No
CLI000284,30,blue-collar,single,basic.9y,No,Sí,No
CLI000285,52,blue-collar,married,basic.4y,Desconocido,,No
CLI000286,29,self-employed,married,professional.course,No,No,No
CLI000287,33,admin.,single,university.degree,No,Sí,No
CLI000288,38,technician,single,professional.course,Desconocido,Sí,No
CLI000290,53,admin.,single,university.degree,No,Sí,No
CLI000291,43,services,married,high.school,Desconocido,Desconocido,Desconocido
CLI000292,57,admin.,divorced,high.school,Desconocido,Sí,No
CLI000293,24,services,married,high.school,No,No,No
CLI000294,51,management,married,,No,No,No
CLI000295,30,blue-collar,single,basic.9y,No,No,No
CLI000296,46,services,married,high.school,No,No,No
CLI000297,33,admin.,married,university.degree,No,Desconocido,Desconocido
CLI000298,57,blue-collar,married,basic.4y,Desconocido,Sí,No
CLI000299,33,blue-collar,married,basic.4y,No,Sí,No
CLI000300,31,blue-collar,married,basic.6y,No,Sí,Sí
CLI000301,37,services,married,high.school,No,Sí,No
CLI000302,35,technician,single,university.degree,No,Sí,No
CLI000303,32,admin.,single,university.degree,No,Sí,Sí
CLI000304,32,blue-collar,married,high.school,No,Sí,No
CLI000305,35,blue-collar,single,basic.9y,No,Sí,No
CLI000306,56,blue-collar,married,basic.9y,Desconocido,Sí,No
CLI000307,35,admin.,married,university.degree,No,Sí,No
CLI000308,43,retired,married,basic.4y,Desconocido,No,No
CLI000309,33,admin.,married,university.degree,No,Sí,No
CLI000310,32,admin.,single,professional.course,No,Sí,Sí
CLI000311,47,blue-collar,divorced,basic.4y,No,Sí,No
CLI000312,42,services,married,high.school,No,Sí,No
CLI000313,31,technician,married,professional.course,No,Sí,No
CLI000314,31,admin.,single,high.school,No,Sí,No
CLI000315,26,admin.,single,high.school,No,Sí,No
CLI000316,32,student,married,high.school,No,Sí,No
CLI000317,51,admin.,married,high.school,No,Sí,No
CLI000318,36,blue-collar,single,basic.9y,No,Sí,No
CLI000319,38,technician,married,university.degree,No,No,No
CLI000320,42,services,married,professional.course,No,Sí,No
CLI000321,56,blue-collar,married,Desconocido,Desconocido,Sí,Sí
CLI000322,26,blue-collar,married,basic.4y,No,Sí,Sí
CLI000323,33,admin.,married,university.degree,Desconocido,Sí,Sí
CLI000324,42,blue-collar,married,basic.4y,Desconocido,,No
CLI000325,33,services,married,high.school,No,Sí,No
CLI000326,34,services,married,basic.4y,No,Sí,No
CLI000327,25,blue-collar,single,basic.4y,No,Sí,Sí
CLI000328,59,retired,married,professional.course,Desconocido,No,No
CLI000329,43,admin.,married,high.school,No,No,No
CLI000330,32,technician,single,professional.course,No,No,No
CLI000331,50,admin.,married,university.degree,No,Sí,No
CLI000332,45,management,married,high.school,Desconocido,No,
CLI000333,48,services,divorced,high.school,No,Sí,No
CLI000334,32,self-employed,single,professional.course,No,Desconocido,Desconocido
CLI000335,28,blue-collar,single,basic.4y,No,No,No
CLI000336,37,technician,single,professional.course,Desconocido,No,No
CLI000337,57,admin.,single,high.school,No,No,No
CLI000338,39,blue-collar,married,basic.9y,Desconocido,No,Sí
CLI000339,46,entrepreneur,married,basic.4y,No,Sí,No
CLI000340,59,management,married,basic.6y,Desconocido,Sí,No
CLI000341,48,blue-collar,married,basic.4y,No,No,Sí
CLI000342,37,blue-collar,married,basic.4y,No,Sí,No
CLI000343,49,blue-collar,married,high.school,Desconocido,Sí,No
CLI000344,33,admin.,single,university.degree,No,Sí,Sí
CLI000345,31,services,single,high.school,Desconocido,Sí,No
CLI000346,48,admin.,married,university.degree,Desconocido,Sí,No
CLI000347,31,technician,single,high.school,No,No,No
CLI000348,46,admin.,married,high.school,Desconocido,No,No
CLI000349,43,technician,single,professional.course,Desconocido,Sí,No
CLI000350,58,blue-collar,married,basic.4y,Desconocido,Sí,No
CLI000351,35,self-employed,married,basic.4y,Desconocido,No,No
CLI000352,33,blue-collar,married,basic.6y,Desconocido,No,No
CLI000353,34,services,single,high.school,No,Sí,Sí
CLI000354,41,technician,married,professional.course,No,,No
CLI000355,36,technician,married,university.degree,No,Sí,
CLI000356,57,admin.,married,high.school,No,No,No
CLI000357,46,blue-collar,married,basic.6y,No,Sí,No
CLI000358,46,technician,divorced,professional.course,No,Sí,No
CLI000359,38,technician,single,university.degree,No,No,No
CLI000360,35,services,married,high.school,No,Sí,No
CLI000361,28,admin.,single,university.degree,No,Sí,No
CLI000362,45,technician,married,professional.course,No,No,No
CLI000363,47,technician,married,professional.course,No,No,No
CLI000364,41,blue-collar,married,basic.9y,Desconocido,No,No
CLI000365,30,admin.,single,university.degree,Desconocido,No,No
CLI000366,21,admin.,single,high.school,No,No,Sí
CLI000367,30,unemployed,single,high.school,No,Sí,No
CLI000368,43,management,married,basic.6y,Desconocido,Sí,No
CLI000369,49,admin.,divorced,high.school,No,Sí,No
CLI000370,34,blue-collar,married,basic.9y,No,Sí,No
CLI000371,35,blue-collar,married,basic.6y,No,No,No
CLI000372,28,services,married,high.school,No,Sí,No
CLI000373,32,admin.,married,high.school,No,Sí,No
CLI000374,46,technician,divorced,professional.course,No,Sí,No
CLI000375,47,blue-collar,married,basic.4y,No,Sí,No
CLI000376,26,blue-collar,married,basic.6y,No,No,No
CLI000377,23,student,single,high.school,No,No,No
CLI000378,46,technician,divorced,university.degree,No,Sí,No
CLI000379,53,technician,married,university.degree,No,Sí,No
CLI000380,44,management,married,university.degree,Desconocido,No,No
CLI000381,29,admin.,single,high.school,No,No,No
CLI000382,59,retired,married,university.degree,No,Sí,No
CLI000383,55,retired,married,basic.4y,No,No,No
CLI000384,76,retired,married,university.degree,No,Sí,No
CLI000385,42,blue-collar,single,basic.9y,No,No,No
CLI000386,59,blue-collar,married,basic.4y,Desconocido,No,No
CLI000387,61,self-employed,divorced,high.school,No,No,No
CLI000388,32,admin.,single,university.degree,No,Desconocido,Desconocido
CLI000389,34,technician,married,professional.course,No,Sí,No
CLI000390,30,admin.,single,high.school,No,No,No
CLI000391,50,blue-collar,married,basic.4y,Desconocido,Sí,No
CLI000392,49,management,married,university.degree,No,Sí,No
CLI000393,25,admin.,married,high.school,No,No,No
CLI000394,23,admin.,single,high.school,No,No,No
CLI000395,31,technician,divorced,high.school,No,No,No
CLI000396,27,admin.,single,high.school,No,Sí,No
CLI000397,42,blue-collar,married,basic.9y,Desconocido,Sí,No
CLI000398,32,technician,married,university.degree,No,No,No
CLI000399,33,admin.,single,basic.9y,No,No,No
CLI000400,36,admin.,married,high.school,No,Sí,No
CLI000401,51,admin.,single,high.school,No,Sí,No
CLI000402,39,technician,single,university.degree,No,Sí,No
CLI000403,37,admin.,married,university.degree,No,No,No
CLI000404,60,entrepreneur,married,basic.4y,No,No,Sí
CLI000405,29,admin.,divorced,university.degree,No,Sí,No
CLI000406,31,blue-collar,married,basic.4y,No,No,No
CLI000407,45,blue-collar,single,university.degree,No,Sí,No
CLI000408,35,technician,married,high.school,Desconocido,No,Sí
CLI000409,31,technician,married,university.degree,No,Sí,Sí
CLI000410,33,admin.,married,university.degree,No,Sí,No
CLI000411,40,technician,married,professional.course,Desconocido,Sí,Sí
CLI000412,39,blue-collar,single,basic.4y,Desconocido,No,No
CLI000413,29,technician,married,professional.course,No,Sí,No
CLI000414,27,self-employed,married,university.degree,No,No,No
CLI000415,43,blue-collar,married,basic.9y,No,No,No
CLI000416,56,services,married,high.school,No,Sí,Sí
CLI000417,33,admin.,single,university.degree,No,Sí,No
CLI000418,31,housemaid,married,professional.course,No,Sí,No
CLI000419,40,blue-collar,single,basic.6y,Desconocido,No,Sí
CLI000420,37,blue-collar,divorced,basic.9y,Desconocido,Sí,No
CLI000421,38,unemployed,single,high.school,No,Sí,No
CLI000422,39,blue-collar,married,Desconocido,Desconocido,Sí,No
CLI000423,29,blue-collar,single,Desconocido,No,Sí,No
CLI000424,58,retired,divorced,university.degree,No,Sí,No
CLI000425,45,blue-collar,married,basic.6y,No,Sí,No
CLI000426,58,technician,divorced,university.degree,Desconocido,Sí,No
CLI000427,31,services,married,high.school,No,No,No
CLI000428,49,Desconocido,married,basic.6y,No,No,No
CLI000429,37,blue-collar,married,basic.9y,No,Sí,No
CLI000430,48,technician,married,professional.course,No,Sí,Sí
CLI000431,29,admin.,married,university.degree,No,Sí,No
CLI000432,41,unemployed,married,university.degree,No,No,No
CLI000433,35,blue-collar,married,basic.9y,Desconocido,Sí,No
CLI000434,56,Desconocido,single,basic.9y,No,No,Sí
CLI000435,57,admin.,divorced,high.school,No,No,No
CLI000436,33,blue-collar,married,high.school,No,No,No
CLI000437,58,entrepreneur,married,basic.4y,No,No,No
CLI000438,49,technician,divorced,Desconocido,No,Sí,Sí
CLI000439,49,technician,married,professional.course,Desconocido,Sí,No
CLI000440,34,technician,single,professional.course,No,No,No
CLI000441,34,blue-collar,married,basic.6y,No,No,No
CLI000442,27,services,married,basic.6y,No,No,No
CLI000443,41,blue-collar,married,basic.9y,Desconocido,No,No
CLI000444,48,technician,married,high.school,No,No,No
CLI000445,31,admin.,married,university.degree,No,No,No
CLI000446,40,technician,married,high.school,No,No,No
CLI000447,42,management,married,high.school,No,No,No
CLI000448,27,management,single,,No,Sí,No
CLI000449,57,admin.,married,university.degree,No,Sí,Sí
CLI000450,55,management,married,university.degree,No,Sí,No
CLI000451,23,admin.,single,professional.course,No,No,No
CLI000452,42,admin.,married,basic.6y,No,No,No
CLI000453,36,technician,married,basic.9y,Desconocido,No,No
CLI000454,33,technician,single,basic.9y,No,No,No
CLI000455,35,admin.,married,university.degree,No,No,No
CLI000456,26,technician,single,professional.course,No,Sí,No
CLI000457,55,retired,married,basic.4y,No,No,No
CLI000458,41,management,married,university.degree,No,Sí,Sí
CLI000459,38,admin.,single,high.school,No,Sí,No
CLI000460,38,admin.,married,university.degree,No,Sí,No
CLI000461,38,management,married,university.degree,No,Sí,No
CLI000462,26,admin.,single,university.degree,Desconocido,No,No
CLI000463,45,entrepreneur,married,high.school,No,Sí,No
CLI000464,38,entrepreneur,married,basic.6y,No,Desconocido,Desconocido
CLI000465,32,unemployed,married,professional.course,No,Sí,No
CLI000466,27,admin.,single,university.degree,No,No,No
CLI000467,54,technician,divorced,professional.course,No,Sí,No
CLI000468,54,admin.,single,university.degree,No,Sí,No
CLI000469,37,self-employed,single,university.degree,No,Sí,No
CLI000470,57,technician,single,professional.course,No,Sí,No
CLI000471,49,technician,married,high.school,No,Sí,No
CLI000472,58,retired,married,professional.course,Desconocido,No,No
CLI000473,38,admin.,single,university.degree,Desconocido,Sí,Sí
CLI000474,39,housemaid,divorced,basic.9y,No,Sí,No
CLI000475,40,technician,married,professional.course,No,No,No
CLI000476,36,blue-collar,married,basic.6y,No,Sí,No
CLI000477,33,admin.,married,high.school,No,Sí,Sí
CLI000478,34,management,married,university.degree,Desconocido,No,No
CLI000479,47,technician,married,Desconocido,Desconocido,Sí,No
CLI000480,37,self-employed,divorced,basic.9y,No,Sí,No
CLI000481,47,Desconocido,married,Desconocido,No,No,No
CLI000482,21,student,single,Desconocido,No,No,No
CLI000483,35,admin.,single,high.school,No,No,
CLI000484,43,admin.,married,high.school,No,No,Sí
CLI000485,37,blue-collar,married,basic.6y,No,Sí,No
CLI000486,37,admin.,single,university.degree,No,No,Sí
CLI000487,44,admin.,divorced,university.degree,No,Sí,No
CLI000488,35,technician,married,basic.9y,No,No,No
CLI000489,36,entrepreneur,married,university.degree,Desconocido,Desconocido,Desconocido
CLI000490,31,blue-collar,divorced,basic.6y,No,Sí,No
CLI000491,35,student,single,university.degree,No,Sí,No
CLI000492,41,services,divorced,basic.9y,No,No,No
CLI000493,31,blue-collar,single,basic.9y,Desconocido,Sí,No
CLI000494,25,technician,single,university.degree,No,Sí,Sí
CLI000495,34,blue-collar,married,basic.6y,No,No,No
CLI000496,50,blue-collar,married,basic.4y,Desconocido,Sí,No
CLI000497,31,services,married,high.school,No,No,No
CLI000498,47,blue-collar,married,Desconocido,Desconocido,Sí,No
CLI000499,50,admin.,married,professional.course,No,Sí,Sí
CLI000500,26,services,single,basic.9y,No,No,No
CLI000501,51,unemployed,married,basic.9y,No,No,No
