id_cliente,tipo_contacto,mes,dia_semana,contactos_campana,dias_desde_contacto_previo,contactos_previos,resultado_previo,variacion_empleo,indice_precios,confianza_consumidor,euribor_3m,numero_empleados,acepta_deposito
CLI000077,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,No
CLI000078,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,No
CLI000079,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,No
CLI000080,telephone,jun,tue,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No
CLI000081,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000082,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No
CLI000083,cellular,may,fri,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,Sí
CLI000084,telephone,may,thu,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No
CLI000085,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No
CLI000086,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No
CLI000087,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No
CLI000088,telephone,jun,wed,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No
CLI000089,cellular,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,No
CLI000090,cellular,mar,mon,5,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,Sí
CLI000091,cellular,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,No
CLI000092,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,No
CLI000093,cellular,may,tue,1,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,Sí
CLI000094,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No
CLI000095,telephone,may,thu,11,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000096,cellular,aug,fri,1,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2,Sí
CLI000097,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No
CLI000098,cellular,may,fri,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,No
CLI000099,telephone,may,mon,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000100,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,No
CLI000101,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,No
CLI000102,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000103,telephone,may,thu,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No
CLI000104,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000105,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,No
CLI000106,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000107,telephone,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000108,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000109,cellular,nov,fri,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000110,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No
CLI000111,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000112,cellular,may,mon,8,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,No
CLI000113,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,No
CLI000114,cellular,nov,mon,2,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,Sí
CLI000115,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000116,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No
CLI000117,cellular,jul,thu,31,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No
CLI000119,cellular,sep,fri,2,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,Sí
CLI000120,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,No
CLI000121,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000122,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,No
CLI000123,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No
CLI000124,telephone,jun,thu,20,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,No
CLI000125,telephone,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,No
CLI000126,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,No
CLI000127,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No
CLI000128,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,No
CLI000129,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000130,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000131,cellular,nov,fri,10,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000132,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,Sí
CLI000133,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,No
CLI000134,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,No
CLI000135,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,No
CLI000136,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000137,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000138,cellular,aug,mon,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,No
CLI000139,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,No
CLI000140,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,No
CLI000141,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No
CLI000142,telephone,jun,fri,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,No
CLI000143,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,No
CLI000144,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,No
CLI000145,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000146,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000147,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,Sí
CLI000148,telephone,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No
CLI000149,cellular,may,fri,9,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,No
CLI000150,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No
CLI000151,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No
CLI000152,telephone,jun,tue,1,6,2,success,-1.7,94.055,-39.8,0.702,4991.6,No
CLI000153,cellular,may,thu,1,999,3,failure,-1.8,93.876,-40.0,0.692,5008.7,No
CLI000154,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000155,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000156,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,No
CLI000157,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,No
CLI000158,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No
CLI000159,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,Sí
CLI000160,telephone,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,Sí
CLI000161,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No
CLI000162,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000163,cellular,jun,tue,2,3,1,success,-2.9,92.963,-40.8,1.262,5076.2,Sí
CLI000164,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000165,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,No
CLI000166,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,No
CLI000167,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,No
CLI000168,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,No
CLI000169,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000170,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,No
CLI000171,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,No
CLI000172,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.741,5017.5,No
CLI000173,telephone,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,Sí
CLI000174,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,No
CLI000175,cellular,nov,wed,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,No
CLI000176,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,No
CLI000177,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,No
CLI000178,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000179,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,No
CLI000180,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,No
CLI000181,cellular,aug,wed,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No
CLI000182,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,No
CLI000183,cellular,nov,thu,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,Sí
CLI000184,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000185,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,No
CLI000186,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000187,cellular,may,tue,2,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,No
CLI000188,cellular,mar,wed,2,999,0,nonexistent,-1.8,92.843,-50.0,1.602,5099.1,No
CLI000189,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,No
CLI000190,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,No
CLI000191,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,No
CLI000192,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,No
CLI000193,cellular,nov,mon,1,5,1,success,-3.4,92.649,-30.1,0.722,5017.5,Sí
CLI000194,telephone,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,No
CLI000195,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000196,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,No
CLI000197,telephone,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.741,5017.5,No
CLI000198,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,No
CLI000199,telephone,jun,wed,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,No
CLI000200,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,No
CLI000201,cellular,aug,wed,13,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No
CLI000202,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,No
CLI000203,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,No
CLI000204,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,No
CLI000205,cellular,apr,fri,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,No
CLI000206,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,No
CLI000207,telephone,may,fri,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,No
CLI000208,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000209,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000210,telephone,mar,fri,1,999,1,failure,-1.8,93.369,-34.8,0.653,5008.7,Sí
CLI000211,cellular,may,thu,4,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,No
CLI000212,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,No
CLI000213,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,No
CLI000214,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000215,cellular,sep,mon,2,6,1,success,-3.4,92.379,-29.8,0.739,5017.5,Sí
CLI000216,cellular,oct,mon,1,6,1,success,-1.1,94.601,-49.5,1.032,4963.6,Sí
CLI000217,telephone,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No
CLI000218,telephone,may,fri,6,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,No
CLI000219,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,Sí
CLI000220,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,Sí
CLI000221,telephone,oct,tue,1,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,No
CLI000222,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,No
CLI000223,cellular,mar,mon,6,999,1,failure,-1.8,92.843,-50.0,1.629,5099.1,No
CLI000224,cellular,jul,fri,7,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,No
CLI000225,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,No
CLI000226,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,No
CLI000227,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,No
CLI000228,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,No
CLI000229,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000230,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,No
CLI000231,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,Sí
CLI000232,cellular,aug,tue,9,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000233,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,No
CLI000234,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,Sí
CLI000235,telephone,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,No
CLI000236,telephone,jun,fri,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
CLI000237,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000238,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,Sí
CLI000239,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,No
CLI000240,cellular,oct,tue,3,999,2,failure,-1.1,94.601,-49.5,1.008,4963.6,No
CLI000241,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,No
CLI000242,telephone,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,No
CLI000243,cellular,oct,tue,1,999,1,failure,-3.4,92.431,-26.9,0.728,5017.5,Sí
CLI000244,cellular,jun,wed,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,No
CLI000245,telephone,jun,fri,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,No
CLI000246,cellular,jul,wed,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,No
CLI000247,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,No
CLI000248,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,No
CLI000249,telephone,jun,tue,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,No
CLI000250,telephone,may,fri,15,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,No
CLI000251,cellular,jul,tue,3,999,2,failure,-1.7,94.215,-40.3,0.797,4991.6,Sí
CLI000252,telephone,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.406,5195.8,No
CLI000253,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000254,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000255,cellular,aug,tue,1,999,1,failure,-1.7,94.027,-38.3,0.904,4991.6,Sí
CLI000256,cellular,may,tue,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,No
CLI000257,cellular,aug,fri,8,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,No
CLI000258,cellular,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,Sí
CLI000259,cellular,nov,fri,4,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,No
CLI000260,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,No
CLI000261,telephone,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,No
CLI000262,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,No
CLI000263,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,No
CLI000264,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,Sí
CLI000265,cellular,jul,fri,8,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,No
CLI000266,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,No
